BE_price,DE_price,DK_price,GB_price,NL_price,NO_price,BE_a,BE_b,DE_a,DE_b,DK_a,DK_b,GB_a,GB_b,NL_a,NL_b,NO_a,NO_b,BE_PGLmin,BE_PGLmax,DE_PGLmin,DE_PGLmax,DK_PGLmin,DK_PGLmax,GB_PGLmin,GB_PGLmax,NL_PGLmin,NL_PGLmax,NO_PGLmin,NO_PGLmax
BE,DE,DK,GB,NL,NO,BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO,BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO
price,price,price,price,price,price,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,a_CG,b_CG,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max,PGL_min,PGL_max
172.5977152,174.0971069,174.74,247.8716222,173.7635135,164.0531711,0.134700228,188.9405596,0.023795321,159.4524888,0.073619627,187.7444831,0.031519997,247.5094421,0.339211317,183.9100781,0.006165187,172.1754105,-701.337193,251.0088088,-3350.500899,431.2278278,-1275.098033,328.3382382,-3138.53593,1358.832332,-271.0848207,171.8576577,-13963.51891,2779.902302
163.5577358,163.1338138,164.46,214.8881297,171.2758333,159.9749172,0.14512726,192.7505719,0.029783658,154.4030653,0.078333616,124.6576749,0.028336313,204.087216,0.39814493,179.8258309,0.005901807,168.43696,-664.0743162,150.9528529,-2592.076925,387.8618619,-795.6844154,373.5672673,-2859.554244,1698.563964,-225.829613,173.4585586,-14269.94817,3075.648348
156.3836336,153.2239541,153,182.4721042,152.8473974,157.7614647,0.191529822,189.1602982,0.029317686,153.0958919,0.066962748,63.36794239,0.032452612,162.0926369,0.199542261,81.73162116,0.005906461,165.2191314,-493.8142171,149.1327327,-2610.981847,1417.207508,-473.1581684,376.2522523,-1818.671646,1725.205405,-204.7977725,490.3093093,-13986.30512,3317.835736
143.6429391,142.2383884,141.67,153.5383957,141.8422222,154.9866459,0.270376357,105.0334883,0.026104256,139.1573632,0.065946067,28.47366048,0.053180694,139.5494866,0.202759101,77.90638442,0.006640296,169.5943048,-194.2357118,273.6788789,-2665.415233,1754.617718,-215.8859639,273.7222222,-939.81654,1002.417818,-192.1156289,506.7111111,-12770.08621,3443.92983
135.2176076,132.7464352,134.91,170.2223255,135.2056817,150.4023295,0.348122668,95.79683461,0.024960127,135.1927762,0.043309015,7.418343089,0.029538084,163.013358,0.223421851,57.96640471,0.006644461,165.8033082,-137.5906303,218.091992,-2708.174846,1721.327027,-85.64432935,419.6601602,-2178.025983,1443.571171,-129.7241171,467.5645646,-12476.80649,3574.339239
127.3609535,125.0475615,124.22,138.6950135,125.6479691,145.3848141,0.255301924,101.4800202,0.018186773,129.6416179,0.039234954,-22.08644325,0.027899741,126.8903277,0.135416764,84.62027062,0.00672918,162.8567515,-198.7451144,257.4285285,-3564.173202,1957.314515,0,819.9648649,-1933.921415,1603.132432,-312.4438516,671.1867868,-12100.78728,3467.166967
131.4485485,129.6903904,130.01,188.9894943,131.0396396,155.7052111,0.278202664,112.1239091,0.015365198,139.7304657,0.031385777,-55.54757884,0.021463885,201.8212428,0.453209827,67.78301502,0.006241097,163.8472929,-201.5148013,208.1029029,-4546.979014,2109.200901,0,1559.272372,-4005.437698,903.7027027,-74.78105171,224.2207207,-13126.48184,3324.229429
112.564367,120.0031896,120,167.1221201,119.0024024,154.3599677,0.306949172,107.3336097,0.015268126,129.2185939,0.028002285,-45.17947244,0.02036693,177.2892428,0.250676615,95.33046242,0.00587396,159.509434,-174.8393863,196.7243243,-4231.645518,2173.046847,0,1492.458058,-3724.472884,1257.56997,-190.1463015,255.1945946,-13577.67452,3630.773874
123.2585495,118.6325961,118.76,160.1409929,117.6192062,147.2324646,0.335627529,107.9966483,0.015185201,136.2536231,0.02766795,-37.50851942,0.021794655,164.832038,0.226874002,99.29880616,0.005903303,156.0276406,-160.8876492,188.0561562,-4486.395113,1841.827227,0,1352.371471,-3243.879329,1140.178579,-218.8413068,260.7016016,-13215.28309,3465.802202
117.6534777,114.7063398,115,119.5845254,117.7647838,143.8511901,0.195358199,90.63634806,0.01550303,123.2677002,0.028659248,-34.17881301,0.016708182,133.8930017,0.09105822,97.91407382,0.006645154,158.1800242,-231.9747738,341.980981,-3975.60026,2064.022823,0,1207.184685,-3293.551114,1354.275275,-537.6454417,704.2351351,-11901.90808,3486.364665
