OWPP_BE,L_BE,OWPP_DE,L_DE,OWPP_DK,L_DK,OWPP_GB,L_GB,OWPP_NL,L_NL,OWPP_NO,L_NO
BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO
WPP,Load,WPP,Load,WPP,Load,WPP,Load,WPP,Load,WPP,Load
0.853120994,0.632863663,0.797596044,0.567124926,0.585902458,0.577684798,0.52658518,0.506815683,0.662185376,0.518625606,0.592541436,0.647264631
0.866378586,0.659416551,0.799037107,0.604892254,0.594352162,0.610041841,0.495798319,0.49883114,0.655314064,0.547090567,0.689917127,0.66475827
0.888525043,0.688053185,0.788491141,0.643909997,0.593334626,0.660808926,0.465469824,0.511779336,0.663828516,0.573735964,0.738259669,0.691475827
0.903597321,0.728497718,0.759145842,0.682795224,0.626527839,0.669735007,0.441252865,0.55242792,0.711554261,0.592230711,0.776933702,0.716762087
0.878863667,0.743222862,0.763927554,0.705669686,0.627134723,0.690655509,0.427272727,0.5993211,0.711554261,0.592330413,0.816298343,0.730438931
0.722058043,0.743361778,0.773752989,0.730358611,0.702182923,0.709902371,0.435599694,0.62372306,0.70707297,0.563815601,0.761740331,0.755407125
0.452082136,0.743738837,0.776766122,0.731218272,0.691157431,0.715202232,0.449350649,0.636286974,0.70871611,0.548025274,0.756906077,0.756043257
0.752095398,0.722881524,0.788949661,0.712462029,0.6956907,0.710739191,0.464171123,0.639788217,0.709911121,0.54746445,0.812845304,0.739821883
0.811367756,0.71246279,0.778207186,0.683896134,0.736315428,0.69595537,0.470282659,0.629786189,0.714765853,0.565061878,0.828729282,0.731552163
0.856250829,0.726612423,0.786755314,0.688418699,0.740270716,0.682566248,0.474484339,0.621363991,0.714541788,0.59952143,0.850138122,0.736005089
0.902615932,0.748422306,0.807781744,0.707592881,0.734352313,0.707949791,0.475324675,0.633981277,0.711404885,0.638953626,0.88121547,0.751590331
0.907511825,0.792359595,0.821078833,0.751139985,0.687457895,0.761227336,0.504660046,0.681664372,0.713272089,0.691347101,0.89640884,0.760178117
0.905687193,0.792577892,0.800838437,0.760895271,0.686112356,0.735285914,0.542398778,0.724874841,0.713122713,0.677538354,0.895027624,0.742843511
0.908198134,0.761520143,0.810336357,0.740925988,0.7083287,0.683124128,0.569747899,0.704667969,0.714018971,0.651017585,0.907458564,0.715171756
0.895809204,0.722901369,0.827039597,0.703709115,0.74813712,0.651324965,0.580290298,0.654625805,0.712375831,0.62573063,0.901243094,0.711832061
0.926730693,0.699523715,0.839157633,0.673865621,0.755245516,0.635425384,0.589839572,0.603174603,0.705952648,0.60172734,0.901933702,0.696882952
0.936056098,0.699603096,0.8372908,0.65199353,0.769241376,0.606973501,0.598242934,0.591827585,0.652550601,0.574109847,0.925414365,0.688772265
